Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Pants length type (product.metafields.shopify.pants-length-type),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gilet-blanc-femme-sans-manches,Gilet Blanc Femme Sans Manches,<p>Gilet sans manches blanc élégant à boutons. Parfait pour un look décontracté chic.</p>,Ma Boutique,Uncategorized,"","blanc, gilet, sans manches, élégant",true,Taille,"S, M",,,,,,,,,0.0,,0,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a21.20.58_3e990ecb.jpg?v=1750631078,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pantalon-large-taille-haute-boutons-dores,Pantalon Large Taille Haute Boutons Dorés,<p>Pantalon femme large en camel avec boutons dorés décoratifs. Idéal avec un chemisier ou une veste.</p>,Ma Boutique,Uncategorized,"","camel, chic, pantalon large",true,Taille,"S, M, L",,,,,,,,,0.0,,0,deny,manual,39.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a21.20.58_1727d33a.jpg?v=1750631119,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
tailleur-sans-manches-texture-beige,Tailleur Sans Manches Texturé Beige,<p>Costume femme texturé beige sans manches avec pantalon large. Idéal pour l’été et les looks élégants.</p>,Ma Boutique,Uncategorized,"","beige, fashion, femme, sans manches, texturé, été",true,Taille,"S, M, L",,,,,,,,,0.0,,0,deny,manual,59.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a21.20.58_9ce7f14c.jpg?v=1750631168,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
tailleur-bleu-marine-elegant,Tailleur Bleu Marine Élégant,"<p>Ensemble femme bleu marine, pantalon palazzo et haut structuré à boutons brillants. Chic et tendance.</p>",Ma Boutique,Uncategorized,"","bleu marine, bureau, chic, femme, large, soirée, élégant, été",true,Taille,"S, M, L",,,,,,,,,0.0,,0,deny,manual,69.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a21.20.58_d80a7ef6.jpg?v=1750631233,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
tailleur-femme-vert-menthe-sans-manches,Tailleur Femme Vert Menthe Sans Manches,<p>Costume sans manches pour femme. Style moderne avec bouton doré et pantalon large fluide.</p>,Ma Boutique,Uncategorized,"","femme, léger, printemps, sans manches, vert, élégant, été",true,Taille,"S, M, L",,,,,,,,,0.0,,0,deny,manual,64.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a21.20.58_7476d693.jpg?v=1750631285,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
tailleur-satine-beige-3-pieces,Tailleur Satiné Beige 3 Pièces,<p>Ensemble tailleur trois pièces satiné pour femme. Élégance et audace réunies dans ce costume chic.</p>,Ma Boutique,Uncategorized,"","3 pièces, beige, chic, femme, glamour, satiné, soirée, élégant",true,Taille,"M, L",,,,,,,,,0.0,,0,deny,manual,89.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a21.20.57_19fa03ca.jpg?v=1750631330,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
tailleur-femme-beige-a-coupe-ajustee,Tailleur Femme Beige à Coupe Ajustée,"<p>Costume deux pièces beige, veste cintrée et pantalon droit. Élégant pour le bureau ou les occasions formelles.</p>",Ma Boutique,Uncategorized,"","beige, bureau, chic, costume, femme, travail, élégant, été",true,Taille,"S, M, L",,,,,,,,,0.0,,0,deny,manual,74.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a21.20.57_e913ba80.jpg?v=1750631373,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
tailleur-pantalon-femme-elegant-beige-classique,Tailleur Pantalon Femme Élégant - Beige Classique,"<p>Ensemble tailleur beige à coupe droite, veste boutonnée et pantalon ajusté. Parfait pour un look business chic.</p>",Ma Boutique,Uncategorized,"","beige, business, chic, classique, costume femme, femme, tailleur, élégant, été",true,Taille,"S, M, L, XL",,,,,,,,,0.0,,0,deny,manual,69.99,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/WhatsAppImage2025-06-22a21.20.58_8e086cba.jpg?v=1750631410,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ensemble-homme-bleu-ciel,Tenue Homme Bleu Ciel à Col Mandarin,<p>Ensemble deux pièces bleu ciel avec col mandarin. Style moderne et raffiné pour les occasions estiv<img>ales.</p>,MaBoutique,Uncategorized,Ensemble,"bleu ciel, col mandarin, homme, moderne, été",true,Taille,M,,,,,,,,,0.0,,0,deny,manual,500.00,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/1.jpg?v=1750607669,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ensemble-homme-beige,Ensemble Plissé Homme Crème,"<p>Ensemble crème plissé pour homme, chic et confortable. Idéal pour une allure classe lors des sorties estivales.</p>",MaBoutique,Uncategorized,Ensemble,"crème, homme, plissé, élégant, été",true,Taille,L,,,,,,,,,0.0,,0,deny,manual,500.00,,true,true,,https://cdn.shopify.com/s/files/1/0956/5077/5334/files/2.jpg?v=1750607925,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
